name,grade,category,lat,lon
신탄진고등학교,고등학교,대전광역시동부교육지원청,36.44970668,127.4359505
대전구봉고등학교,고등학교,대전광역시서부교육지원청,36.29557493,127.3310026
대전송강초등학교,초등학교,대전광역시서부교육지원청,36.43415321,127.3838483
기성초등학교,초등학교,대전광역시서부교육지원청,36.24877151,127.3376126
대전자운중학교,중학교,대전광역시서부교육지원청,36.411014,127.3380613
한밭초등학교,초등학교,대전광역시서부교육지원청,36.35427285,127.3942275
대전송촌고등학교,고등학교,대전광역시동부교육지원청,36.36346301,127.4459274
대전대신중학교,중학교,대전광역시서부교육지원청,36.30895881,127.3800491
충남여자중학교,중학교,대전광역시동부교육지원청,36.33163973,127.411631
대전백운초등학교,초등학교,대전광역시서부교육지원청,36.34084559,127.3844706
대전복수초등학교,초등학교,대전광역시서부교육지원청,36.30762982,127.3775508
대전글꽃초등학교,초등학교,대전광역시동부교육지원청,36.31904357,127.4103558
대전도마중학교,중학교,대전광역시서부교육지원청,36.31917326,127.3723111
대전봉우중학교,중학교,대전광역시서부교육지원청,36.2984703,127.3327047
대전도안초등학교,초등학교,대전광역시서부교육지원청,36.3218733,127.3444736
대전유천초등학교,초등학교,대전광역시서부교육지원청,36.315237,127.375594
대전송강중학교,중학교,대전광역시서부교육지원청,36.43781613,127.3814373
대전오류초등학교,초등학교,대전광역시동부교육지원청,36.32503829,127.4048632
대전국제통상고등학교,고등학교,대전광역시동부교육지원청,36.31386261,127.4075368
대전한빛고등학교,고등학교,대전광역시동부교육지원청,36.28124455,127.3733529
대전외국어고등학교,고등학교,대전광역시서부교육지원청,36.33658566,127.3656242
대전동도초등학교,초등학교,대전광역시동부교육지원청,36.34772232,127.4128475
대전중앙고등학교,고등학교,대전광역시동부교육지원청,36.33842277,127.4147891
대전둔천초등학교,초등학교,대전광역시서부교육지원청,36.36843991,127.3739635
대전목상초등학교,초등학교,대전광역시동부교육지원청,36.44563827,127.412323
대전목양초등학교,초등학교,대전광역시동부교육지원청,36.33702265,127.4047107
대전둔산초등학교,초등학교,대전광역시서부교육지원청,36.34992386,127.3813371
대전대룡초등학교,초등학교,대전광역시동부교육지원청,36.32991361,127.4558809
대전고등학교,고등학교,대전광역시동부교육지원청,36.32243054,127.423386
대덕초등학교,초등학교,대전광역시서부교육지원청,36.38505922,127.3821059
대전느리울중학교,중학교,대전광역시서부교육지원청,36.29722802,127.3394081
대전내동중학교,중학교,대전광역시서부교육지원청,36.33228389,127.3702487
대전중학교,중학교,대전광역시동부교육지원청,36.32079217,127.4248636
